reeval_rank,original_rank,sample_id,coarse_J,coarse_display_score,mean_J,std_J,median_J,p95_J,sem_J,ci95_low,ci95_high,valid_repeat_rate,failure_count,layout_json,flat_J_t,flat_mean_err,flat_median_err,flat_p95_err,flat_valid_rate,flat_dgeom,flat_usable_event_rate,hill_J_t,hill_mean_err,hill_median_err,hill_p95_err,hill_valid_rate,hill_dgeom,hill_usable_event_rate,rough_J_t,rough_mean_err,rough_median_err,rough_p95_err,rough_valid_rate,rough_dgeom,rough_usable_event_rate
1,46,4962,0.0936874556586487,0.9143379992392549,0.10505879176995309,0.004557094159853551,0.10505879176995309,0.10795890873459733,0.0032223521829380583,0.09874298149139449,0.11137460204851168,1.0,0,"[[0.19113239063291457, 0.6680805610988734], [0.7191279415887656, 0.9604629924011301], [0.5448477614178856, 0.3234408065447684], [0.41974362115846947, 0.06925196901130075], [0.5709411800725394, 0.8644636930538875], [0.6170302276211241, 0.5743293278436381], [0.5856242473572258, 0.46594695737987385], [0.3322567929343144, 0.422664786953509]]",0.05871159195643026,0.005666048633589411,0.0023373001331471292,0.01670623357105013,0.659,0.0,0.659,0.12835416222777102,0.005843007989425211,0.002413007252280164,0.011343033307963706,0.647,0.6937189864014056,0.647,0.10481525066784,0.006486722246664753,0.002385528892519055,0.01287116160267518,0.645,0.4478487717603833,0.645
2,26,2966,0.0905254617829553,0.9169891350955248,0.10627255140609326,0.006514120176614928,0.10627255140609326,0.11041811210140692,0.004606178550348526,0.09724444144741015,0.11530066136477637,1.0,0,"[[0.5025420556712911, 0.403220067875347], [0.8062626939230776, 0.15479428812966536], [0.728864920027161, 0.3633710879844952], [0.3788557333026085, 0.9474072140388579], [0.604875155226743, 0.6495615430261206], [0.8254599247484737, 0.5327158088758711], [0.5552286353002276, 0.8585115837441882], [0.14167078313034873, 0.641889580821068]]",0.06075270599068636,0.002941913352754238,0.0020421061970158105,0.007096149939823191,0.618,0.0,0.618,0.12288747016101045,0.0035020180442589008,0.002154180239888468,0.008043540767377441,0.615,0.6114849981088071,0.615,0.11636363916922679,0.0035148186214740054,0.0022297953430349287,0.008046438003212145,0.609,0.5371803938859983,0.609
3,15,4556,0.0881663116754875,0.9189771722120904,0.10871632288839633,0.008290456246550075,0.10871632288839633,0.11399233693635567,0.00586223783106593,0.0972263367395071,0.12020630903728556,1.0,0,"[[0.8058650076995835, 0.7327996451625162], [0.8245386420456805, 0.5688880332680509], [0.868408841420382, 0.4489243809161878], [0.3775913514057404, 0.7586289461780319], [0.6035851592478568, 0.45365815665109455], [0.5237703257074443, 0.13184975267998064], [0.27402240984551224, 0.7595516212612548], [0.5823921029219, 0.6313693974639524]]",0.06484624269930005,0.006750437784448576,0.0027122104121701743,0.022028485654327315,0.632,0.0,0.632,0.12722775546264165,0.008188533311760223,0.0028090084294372644,0.022241386196274783,0.6180000000000001,0.595704996134671,0.6180000000000001,0.11493992265106034,0.00728081347737531,0.0028311159865316493,0.017157658079543187,0.623,0.4996625916237851,0.623
4,32,712,0.0918806006138034,0.9158510549943352,0.10922497497756717,0.007124418279244245,0.10922497497756717,0.11375892700710387,0.0050377244772629995,0.09935103500213169,0.11909891495300265,1.0,0,"[[0.5368539418674692, 0.648365663397414], [0.0778087967927921, 0.6609908325706138], [0.2922405664378724, 0.9017734596267976], [0.6825665725454289, 0.9533706197517913], [0.7416076004088679, 0.5713628364517738], [0.7390661951992631, 0.33306586648280073], [0.20844230681961368, 0.37979991990477574], [0.7390662960864613, 0.6961333795887689]]",0.07207460249875858,0.009356931177171526,0.002203837815287579,0.025213278230104677,0.5980000000000001,0.0,0.5980000000000001,0.12195083966747555,0.006097620427867012,0.0022162378184784983,0.010928510226744039,0.583,0.5337835740691217,0.583,0.11897497095325643,0.007345282075665105,0.0022321847932417747,0.01254464188126958,0.586,0.49806201454826254,0.586
5,14,3264,0.088077896288145,0.9190518467578352,0.10961151859821634,0.005935343459509302,0.10961151859821634,0.11338874804621757,0.00419692160889025,0.10138555224479145,0.11783748495164123,1.0,0,"[[0.41137079933479703, 0.2508190998379826], [0.5531788544205135, 0.6644592555286525], [0.6393529409332186, 0.4412756387397377], [0.32982656167194324, 0.8718396165928567], [0.7764714221460758, 0.32540632865164926], [0.13625769151139577, 0.6596508083735163], [0.7479724009498038, 0.7200908606853091], [0.410981939940498, 0.9102460590248351]]",0.06792484620287556,0.00858751948669322,0.002243436691965246,0.02553487477954533,0.6239999999999999,0.0,0.6239999999999999,0.12515067254979578,0.008210280541113522,0.0023131319556752303,0.017838982341880676,0.609,0.5745435160373047,0.609,0.11911164307030783,0.006352761728337188,0.002293893370453064,0.01093408100612634,0.612,0.547726759907182,0.612
6,44,4307,0.0935681085542525,0.914437785975714,0.111449413798381,0.010146861755085387,0.111449413798381,0.11790683707768597,0.00717491475478331,0.09738658087900572,0.1255122467177563,1.0,0,"[[0.9496885441050926, 0.49558305216819926], [0.84101552447093, 0.7991946472874266], [0.6477004110868886, 0.3442992408576916], [0.5802328699539193, 0.46270199427951064], [0.80802406154924, 0.08360580374925061], [0.06902304024393117, 0.21670210530255643], [0.16187399590827986, 0.27343590222494946], [0.3974810940445737, 0.12970178089401635]]",0.07132480692255341,0.005687487117593525,0.0022103423115867014,0.01571812573212112,0.573,0.0,0.573,0.1294785622133231,0.00307164252113423,0.0021883011090370035,0.006392948764952555,0.558,0.5987843844932692,0.558,0.11551572384432438,0.003429606642056323,0.002152496856553208,0.007299413296572778,0.5609999999999999,0.459325768664272,0.5609999999999999
7,25,3555,0.0905245894966984,0.9169898685746484,0.11170955693590456,0.0075875310931331616,0.11170955693590456,0.11653823215548098,0.005365194688418236,0.10119377534660481,0.12222533852520431,1.0,0,"[[0.7850771881272642, 0.7607935483762949], [0.4838118591972993, 0.6731581339125525], [0.6004565817528442, 0.42734346599686446], [0.11910613886626678, 0.27782241366340243], [0.22833534588664564, 0.9456735747531256], [0.5589908741460213, 0.8570394785288569], [0.10148247745627942, 0.5553553545109386], [0.6772102835781489, 0.15627703807601803]]",0.06529389001066058,0.0025799663037419747,0.001950353670042546,0.005776350579922325,0.5840000000000001,0.0,0.5840000000000001,0.1319202932853293,0.00246101311308472,0.0019605492445469224,0.005919215605168161,0.556,0.6243707270289072,0.556,0.11770375116229909,0.0026672103815394924,0.0019873553371288592,0.006132257266653932,0.571,0.5031382931061013,0.571
8,7,4172,0.0844904353398321,0.9220920419520744,0.11187717941029286,0.010782799184140388,0.11187717941029286,0.11873931079124346,0.00762459042327844,0.09693298218066712,0.1268213766399186,1.0,0,"[[0.9026856993556951, 0.18654450032703226], [0.41239533727610006, 0.8713609592639263], [0.5467895394289163, 0.3734665224257184], [0.5016365860679705, 0.9164681398045448], [0.8425832012386276, 0.4400115247005735], [0.5537243599780775, 0.5422921426975769], [0.13194445504024513, 0.5004544612288693], [0.6119350083983655, 0.9332448863496872]]",0.061853860926862125,0.005290612462520127,0.00232344996720992,0.01124361772909356,0.626,0.0,0.626,0.13566089017657995,0.004734003802784156,0.0022846114833269125,0.012104314823066948,0.6060000000000001,0.7079929401840698,0.6060000000000001,0.11433307636114945,0.004528803029141961,0.0023463296285358894,0.012030629453944192,0.611,0.5033592616185232,0.611
9,1,1750,0.0817036621397367,0.9244676106780324,0.11222237628239362,0.013436309185018779,0.11222237628239362,0.1207731910873549,0.009500905338845872,0.09360060181825572,0.13084415074653152,1.0,0,"[[0.7809077083672599, 0.7228830734678912], [0.6838579579726572, 0.40365324425883525], [0.4565477969630048, 0.06237309764387078], [0.672717845056195, 0.6387922373352856], [0.6360427019270756, 0.12491717296047444], [0.4175281465957448, 0.19641763325468506], [0.5501491609244239, 0.5757865441441404], [0.8088618237286634, 0.9648745375198412]]",0.07339957058853581,0.015936008068615618,0.0027886896439542693,0.04126122319219594,0.641,0.0,0.641,0.13004368375369652,0.013395817801597546,0.0028973338097176143,0.04198845201413946,0.6299999999999999,0.5591903013873576,0.6299999999999999,0.11540256703364568,0.011570506949119635,0.002884635129144183,0.027245410421344523,0.624,0.45622215780138486,0.624
10,36,3816,0.0926322003587369,0.91522105944862,0.11238093053166662,0.0096493466971542,0.11238093053166662,0.11852173716688659,0.0068231184835777494,0.09900761830385423,0.125754242759479,1.0,0,"[[0.8131846565494791, 0.8275463556548786], [0.24315198015660516, 0.7289640322395634], [0.6383650495361154, 0.11903582053756687], [0.6568630258912524, 0.7669014840624894], [0.15063181108968418, 0.3286403525993244], [0.6143833430319995, 0.43264431469219494], [0.5421470585701588, 0.929994005295554], [0.5203685769780029, 0.6368976517677418]]",0.0680589245459224,0.003173377488840717,0.0020202049931240273,0.007603015586480239,0.571,0.0,0.571,0.13456557908025743,0.003479200629278303,0.0020315128457737575,0.007747633233470775,0.562,0.6497564882704097,0.562,0.1123336394202292,0.0034476172500667135,0.0020328069151957138,0.007572215190569758,0.556,0.4191054710052827,0.556
11,18,2035,0.0896265506353289,0.917745625248329,0.11301643482754872,0.010962871320055894,0.11301643482754872,0.11999316341406704,0.00775192065168704,0.09782267035024213,0.12821019930485533,1.0,0,"[[0.5524997393453872, 0.7807810204960913], [0.24439572874403678, 0.5938151258846556], [0.5238433811330133, 0.6330741063265335], [0.4600661525546923, 0.5441547664654861], [0.7389843077401992, 0.5565283018068355], [0.42931961580115396, 0.35793006078653183], [0.8938202308995601, 0.46366189205891034], [0.8154126072741532, 0.23184280857952191]]",0.059721620188153565,0.007948502354540057,0.0028451753195936217,0.03664931376203512,0.699,0.0,0.699,0.14075330102846917,0.00932427262259296,0.0027423031551839687,0.05016941316886378,0.6799999999999999,0.7350655439764319,0.6799999999999999,0.11083751706510298,0.007147514931807271,0.002698822384719941,0.028613949661811286,0.6779999999999999,0.5073695044724631,0.6779999999999999
12,21,2055,0.0901787928419492,0.9172807309827912,0.11412762485635536,0.008466164952694444,0.11412762485635536,0.11951545924018007,0.0059864826486941275,0.10239411886491487,0.12586113084779585,1.0,0,"[[0.5680479150903572, 0.4556192883792581], [0.22503127802769338, 0.8415226276832611], [0.5280303994116293, 0.5727693297176467], [0.26714363107348327, 0.3612902942294482], [0.43486123767945845, 0.7466801396242102], [0.8167106374208183, 0.5101058194917625], [0.7251684103489182, 0.7974319033378118], [0.9324455835504267, 0.7173059583506681]]",0.06426499073075277,0.005792544837012487,0.002256986455699892,0.010527818513657179,0.61,0.0,0.61,0.1358210325560068,0.006635703229454803,0.0022806492104759358,0.010100195806103548,0.611,0.7145490736092106,0.611,0.12060344358265507,0.005702306963709741,0.0023024838020757874,0.011573275855150241,0.6020000000000001,0.5486542269244061,0.6020000000000001
13,19,3059,0.0898359891208809,0.9175692581107114,0.11464389131571895,0.0058719295419446494,0.11464389131571895,0.11838076439370175,0.004152081197758679,0.10650581216811193,0.12278197046332597,1.0,0,"[[0.34982060417514244, 0.8277556815451598], [0.1742538914525335, 0.7440032903946995], [0.8526528334522373, 0.3087478618592836], [0.8733367190065485, 0.8192673512007617], [0.4828987702032096, 0.7117045583720908], [0.7519357215423313, 0.2839515098963883], [0.7446599292048407, 0.3854275822404513], [0.18497066844861001, 0.41850093882532535]]",0.07605408529462918,0.005867921505747537,0.002054894081090149,0.015211735390142683,0.541,0.0,0.541,0.1276671146034653,0.007614534818975911,0.002191392219349519,0.017243744803754818,0.5429999999999999,0.5051745049379969,0.5429999999999999,0.12393840210475908,0.006978067882466523,0.002147355864963349,0.016648791509083664,0.535,0.46053634104924046,0.535
14,40,621,0.0931615666913832,0.9147778612695372,0.1153902105383123,0.009792432475432463,0.1153902105383123,0.121622076405233,0.006924295407689664,0.10181859153924057,0.12896182953738405,1.0,0,"[[0.8891276210692024, 0.603641798098141], [0.14308483312927558, 0.50517199479791], [0.46588367993765706, 0.8446743907989689], [0.5577909754375074, 0.6409724217598444], [0.7288247499529351, 0.7669430135012498], [0.9117597105810424, 0.2980099475873434], [0.8233813376374776, 0.3756997931702848], [0.41758454037738374, 0.9468519596357006]]",0.07772024157900977,0.0066170957210969685,0.0021549768044399004,0.01764182834838713,0.537,0.0,0.537,0.1267922623441286,0.004943445818584795,0.0021303870063958917,0.008906883835930642,0.528,0.5109564657498624,0.528,0.12813361021686037,0.004645624348121164,0.0021537696311781035,0.00810270718622801,0.526,0.5251226710433744,0.526
15,34,1559,0.0921598147277812,0.9156169147729062,0.11566697391354594,0.011221762326586832,0.11566697391354594,0.12280845972773989,0.007934984237993277,0.10011440480707912,0.13121954302001276,1.0,0,"[[0.23273246588326005, 0.06150348895160909], [0.5252395717180278, 0.6095150227634328], [0.5746429991597304, 0.3914029773055562], [0.43805946122115147, 0.41384580393412945], [0.7467000731850915, 0.09950457208950705], [0.8909525562258666, 0.8030949009276285], [0.722457237790973, 0.8134194563569428], [0.6173311182604725, 0.8463429800154795]]",0.06088497384185015,0.008157598309762593,0.002666195561340328,0.022713515341523292,0.664,0.0,0.664,0.1447798612173377,0.006018540916307389,0.0027206553513624216,0.016542498758657855,0.625,0.8085876817740203,0.625,0.11222319937765819,0.005668976758123221,0.0026223420066617898,0.014718526345643324,0.6379999999999999,0.5095660193280974,0.6379999999999999
16,41,1294,0.0932106354317947,0.9147368014810991,0.11610514683152814,0.004692354040905727,0.11610514683152814,0.11909134265737542,0.0033179953620525375,0.10960187592190516,0.12260841774115112,1.0,0,"[[0.10145073608990178, 0.8499603972830947], [0.5089294371328259, 0.9088703597389947], [0.4473579977317768, 0.2887486778611511], [0.28712505310442654, 0.8075253684246079], [0.2890713984614742, 0.7222422659573366], [0.656065136340344, 0.4058556819700113], [0.602412074579821, 0.20157903947497366], [0.894328662138115, 0.06381914853113897]]",0.0752011462308583,0.01299501104749311,0.0024154277711549823,0.03367797086495467,0.605,0.0,0.605,0.13290035335146813,0.008501541529229488,0.002455724527755971,0.017598593843289198,0.5780000000000001,0.6049508151032811,0.5780000000000001,0.12341873439231799,0.006839685567948983,0.0023318716648440896,0.011571020779328537,0.5760000000000001,0.5326956965294238,0.5760000000000001
17,9,2954,0.0860838304883541,0.9207392393921868,0.11633343169228644,0.006778440238489189,0.11633343169228644,0.12064720464493957,0.004793081058503464,0.10693899281761965,0.12572787056695323,1.0,0,"[[0.27145955785803116, 0.6298853821859499], [0.815049875290244, 0.05997578162825022], [0.6423068037635123, 0.20257020076427637], [0.8181579051264152, 0.8677022699035325], [0.6536371484189173, 0.514022902349478], [0.7363571450682326, 0.3044410912081285], [0.9290503150431432, 0.9355711628960827], [0.7067171732120383, 0.9794102240831806]]",0.07268825982848068,0.00925834839555961,0.0025487067472504425,0.019906676834929485,0.583,0.0,0.583,0.13653310375793082,0.010793160948355682,0.002541300461503755,0.018995683491683388,0.571,0.6162747628366576,0.571,0.11957925942480342,0.008343888706314952,0.0025737943234447787,0.015491350761175382,0.563,0.45627104278609076,0.563
18,29,3774,0.091610370917256,0.916077775222786,0.11751173764320183,0.003325557644840048,0.11751173764320183,0.11962810956890567,0.002351524361893162,0.11290274989389124,0.12212072539251242,1.0,0,"[[0.3235083018678234, 0.36986085671388347], [0.29911199414044654, 0.0812335873350671], [0.2768192716294403, 0.6301877162446133], [0.746169063205677, 0.9671306824083581], [0.8149115887458503, 0.39668908488216115], [0.4877755582549517, 0.5696706916457929], [0.42187776588216347, 0.30485584205276967], [0.716106802904394, 0.7668295633749412]]",0.06899460999486878,0.01055928399429668,0.0025319158752543387,0.0366431073247843,0.645,0.0,0.645,0.14220827070622666,0.006470082344770273,0.002515005866647958,0.015019961254183003,0.6419999999999999,0.8109074527482512,0.6419999999999999,0.11663579916548522,0.007385980521980574,0.0025123122304839826,0.011047306755245505,0.639,0.5584791590402031,0.639
19,5,1081,0.0840246928788716,0.922488211356399,0.11843110296991749,0.005526141185609128,0.11843110296991749,0.12194791768544212,0.003907571906138481,0.11077226203388607,0.1260899439059489,1.0,0,"[[0.8081362355968982, 0.7496650219215876], [0.13828454956739825, 0.915725400632758], [0.6131255339787489, 0.5741610785344831], [0.4763154568427257, 0.3085720033503539], [0.051775907935835835, 0.19694001625305263], [0.8990520754435154, 0.2820287870272611], [0.27952134928582856, 0.6252514535681447], [0.6430437087350923, 0.39212297161735377]]",0.06384915433072855,0.004095249063031272,0.0021426328866684056,0.009687640841214902,0.6059999999999999,0.0,0.6059999999999999,0.14475620352690133,0.0027710302487788043,0.0020845283854264646,0.00594358570006228,0.573,0.7767616420493217,0.573,0.12036285049513876,0.003592609059359095,0.0021319854110827523,0.006742349905364877,0.5780000000000001,0.534234714468177,0.5780000000000001
20,48,777,0.0937449114327509,0.914289967932331,0.11982888488804552,0.005041873709982978,0.11982888488804552,0.12303751366923915,0.0035651430902151403,0.11284120443122385,0.1268165653448672,1.0,0,"[[0.7032281626257518, 0.3880637194788733], [0.8434614726891783, 0.7339082746141239], [0.5917152065037193, 0.26350837283919765], [0.6852191862130594, 0.06941814361336729], [0.389349744119849, 0.4352979449008754], [0.20397002879225362, 0.2847799911954127], [0.5026232424620964, 0.8913124340821171], [0.49385355074578025, 0.6372293370877566]]",0.0662749354703529,0.008441685048907379,0.0019791367657961204,0.006253923994481936,0.5960000000000001,0.0,0.5960000000000001,0.14507984883030606,0.008880257852904031,0.001983203976047224,0.005832874604920759,0.579,0.7618387041502301,0.579,0.1228809064212171,0.005525059180916123,0.001986753327679916,0.005686921841788074,0.575,0.5493855323726842,0.575
21,23,983,0.0903383520717033,0.91714649686489,0.11989562812173632,0.006932953137158163,0.11989562812173632,0.1243077324809761,0.0049023381769330845,0.11028704529494747,0.12950421094852516,1.0,0,"[[0.37979171430139497, 0.1033246903247359], [0.9010232550085571, 0.7177045658390353], [0.18827639195033974, 0.449204962714146], [0.5550374316002404, 0.3019694073321323], [0.7324305856181165, 0.9215181590055731], [0.671630273265729, 0.10504953460731532], [0.9722537832261344, 0.8827141631955474], [0.793453774106785, 0.3663819651445667]]",0.07922726849569314,0.006746868493811699,0.0022478402945323886,0.011970592244926267,0.516,0.0,0.516,0.13303227483608931,0.004402558030753232,0.002224922158775693,0.009246053087145632,0.504,0.5387730779610667,0.504,0.13257542739724626,0.0044655096121265815,0.0021972320130514275,0.011616931015002923,0.502,0.5238086876728841,0.502
22,6,2891,0.0842873220887118,0.9222647721027066,0.12064258578478043,0.012413480521238788,0.12064258578478043,0.12854247641400599,0.008777656254695065,0.1034383795255781,0.13784679204398276,1.0,0,"[[0.5432622380178218, 0.5371973123357652], [0.6467792658513096, 0.2001916979154007], [0.6610048528171668, 0.8259185887541224], [0.7019638257459307, 0.3081495351140075], [0.8744126287986427, 0.22529619025881795], [0.32825181457259595, 0.592387370667402], [0.4292147931377261, 0.8319979049458359], [0.8573934026368893, 0.4156753272707845]]",0.072382147393025,0.013977656047741328,0.0028703567733641836,0.06530734057180465,0.69,0.0,0.69,0.1403546795210714,0.012989874137474659,0.0029698938812972543,0.06140795800932093,0.6809999999999999,0.6823684875641151,0.6809999999999999,0.12947883670395396,0.014915366861245229,0.003044918481486217,0.08357679825012973,0.6779999999999999,0.49393882141354695,0.6779999999999999
23,42,1411,0.0934890787538127,0.9145038751915502,0.12130069753232628,0.015164098911392672,0.12130069753232628,0.13095107098607264,0.0107226371708293,0.10028432867750085,0.14231706638715172,1.0,0,"[[0.32423186893249883, 0.7214866910139014], [0.2655529012620975, 0.15152706635576058], [0.7103351415255991, 0.3185840998946323], [0.9100885586441135, 0.9254012474947273], [0.3586665778524895, 0.3650580818858787], [0.7019939736963273, 0.5478393694640039], [0.7431629091606009, 0.8634854723195722], [0.508337618146721, 0.5932093624686674]]",0.06952573528322586,0.008384816639989762,0.002155478918995133,0.01767522598410162,0.597,0.0,0.597,0.14577297736924566,0.008679285213322823,0.002181149807785943,0.01427390219321476,0.5800000000000001,0.7458512836528595,0.5800000000000001,0.12413110010758793,0.008916682329636556,0.0022031580880773668,0.010845174224988551,0.5820000000000001,0.5416504079175491,0.5820000000000001
24,37,3972,0.0926396345539173,0.9152148323891448,0.12147484820814942,0.00606352905377372,0.12147484820814942,0.12533365446880998,0.004287562511845047,0.11307122568493314,0.1298784707313657,1.0,0,"[[0.8175379429376534, 0.23949033980702716], [0.4309336162676848, 0.1551644007774899], [0.6259829396005657, 0.26558072054678544], [0.4658457913597233, 0.6251074996846469], [0.04845343494094823, 0.8598315863360316], [0.20085835876727967, 0.25972220472614316], [0.4285499830434068, 0.31449557846808907], [0.9684752764293646, 0.37359477569583555]]",0.07164791813941726,0.0037931503249983207,0.0022825276588513627,0.00813666831056007,0.55,0.0,0.55,0.1430206718246542,0.003400042785730848,0.0022545263800918623,0.008401231618415134,0.545,0.707202830855508,0.545,0.12821013104387208,0.004159581534944275,0.002276270008596951,0.008442950195511868,0.545,0.5555543429449359,0.545
