reeval_rank,original_rank,sample_id,coarse_J,coarse_display_score,mean_J,std_J,median_J,p95_J,sem_J,ci95_low,ci95_high,valid_repeat_rate,failure_count,layout_json,flat_J_t,flat_mean_err,flat_median_err,flat_p95_err,flat_valid_rate,flat_dgeom,flat_usable_event_rate,hill_J_t,hill_mean_err,hill_median_err,hill_p95_err,hill_valid_rate,hill_dgeom,hill_usable_event_rate,rough_J_t,rough_mean_err,rough_median_err,rough_p95_err,rough_valid_rate,rough_dgeom,rough_usable_event_rate,n_nodes,centroid_x,centroid_y,mean_radius,std_radius,min_radius,max_radius,min_pairwise_dist,mean_pairwise_dist,std_pairwise_dist,nearest_neighbor_mean,nearest_neighbor_std,convex_hull_area,convex_hull_perimeter,area_per_node,mean_dist_to_boundary,min_dist_to_boundary,fraction_near_boundary_0p1L,fraction_near_boundary_0p15L,angular_gap_mean,angular_gap_std,max_angular_gap,lambda1,lambda2,anisotropy
1,46,4962,0.0936874556586487,0.9143379992392549,0.105058791769953,0.0045570941598535,0.105058791769953,0.1079589087345973,0.003222352182938,0.0987429814913944,0.1113746020485116,1.0,0,"[[0.19113239063291457, 0.6680805610988734], [0.7191279415887656, 0.9604629924011301], [0.5448477614178856, 0.3234408065447684], [0.41974362115846947, 0.06925196901130075], [0.5709411800725394, 0.8644636930538875], [0.6170302276211241, 0.5743293278436381], [0.5856242473572258, 0.46594695737987385], [0.3322567929343144, 0.422664786953509]]",0.0587115919564302,0.0056660486335894,0.0023373001331471,0.0167062335710501,0.659,0.0,0.659,0.128354162227771,0.0058430079894252,0.0024130072522801,0.0113430333079637,0.647,0.6937189864014056,0.647,0.10481525066784,0.0064867222466647,0.002385528892519,0.0128711616026751,0.645,0.4478487717603833,0.645,8.0,0.49758802034790484,0.5435801367858726,0.2854255488610235,0.1330308229926313,0.1173766919397573,0.4806734455215375,0.11284092264635648,0.4350545843503676,0.19336555365772698,0.1910062402322159,0.06458375751218148,0.2103358560014745,2.188304427201526,0.026291982000184313,0.23606259983624134,0.03953700759886991,0.25,0.375,0.7853981633974483,0.3436568384120028,1.4096416345834548,0.08892931032137419,0.024402054031441023,3.6443370794439067
2,26,2966,0.0905254617829553,0.9169891350955248,0.1062725514060932,0.0065141201766149,0.1062725514060932,0.1104181121014069,0.0046061785503485,0.0972444414474101,0.1153006613647763,1.0,0,"[[0.5025420556712911, 0.403220067875347], [0.8062626939230776, 0.15479428812966536], [0.728864920027161, 0.3633710879844952], [0.3788557333026085, 0.9474072140388579], [0.604875155226743, 0.6495615430261206], [0.8254599247484737, 0.5327158088758711], [0.5552286353002276, 0.8585115837441882], [0.14167078313034873, 0.641889580821068]]",0.0607527059906863,0.0029419133527542,0.0020421061970158,0.0070961499398231,0.618,0.0,0.618,0.1228874701610104,0.0035020180442589,0.0021541802398884,0.0080435407673774,0.615,0.6114849981088071,0.615,0.1163636391692267,0.003514818621474,0.0022297953430349,0.0080464380032121,0.609,0.5371803938859983,0.609,8.0,0.5679699876662413,0.5689338968119516,0.301393825406756,0.12600955431445976,0.08867248009786292,0.4778022910521925,0.19495699379834633,0.45474355822873413,0.19269680333023523,0.22984451445556114,0.060658282380477414,0.26437882383377664,2.209959451336363,0.03304735297922208,0.21123499419381997,0.05259278596114214,0.125,0.375,0.7853981633974483,0.3972834436317772,1.3642545408523485,0.09525630716484512,0.02670557371726564,3.566907349504354
3,15,4556,0.0881663116754875,0.9189771722120904,0.1087163228883963,0.00829045624655,0.1087163228883963,0.1139923369363556,0.0058622378310659,0.0972263367395071,0.1202063090372855,1.0,0,"[[0.8058650076995835, 0.7327996451625162], [0.8245386420456805, 0.5688880332680509], [0.868408841420382, 0.4489243809161878], [0.3775913514057404, 0.7586289461780319], [0.6035851592478568, 0.45365815665109455], [0.5237703257074443, 0.13184975267998064], [0.27402240984551224, 0.7595516212612548], [0.5823921029219, 0.6313693974639524]]",0.0648462426993,0.0067504377844485,0.0027122104121701,0.0220284856543273,0.632,0.0,0.632,0.1272277554626416,0.0081885333117602,0.0028090084294372,0.0222413861962747,0.6180000000000001,0.595704996134671,0.6180000000000001,0.1149399226510603,0.0072808134773753,0.0028311159865316,0.0171576580795431,0.623,0.4996625916237851,0.623,8.0,0.6075217300367625,0.5607087416976336,0.25929140443247195,0.11707631021471102,0.07499617611757431,0.4369603302227518,0.10357305144300402,0.3950312188655129,0.1701573515763194,0.1646355820006955,0.06933175570286344,0.22355135533359388,1.9671777402148987,0.027943919416699235,0.23498776717040487,0.131591158579618,0.0,0.25,0.7853981633974483,0.5693391558341603,1.9155788513127945,0.0563304577270611,0.036171136359858885,1.5573317124085195
4,32,712,0.0918806006138034,0.9158510549943352,0.1092249749775671,0.0071244182792442,0.1092249749775671,0.1137589270071038,0.0050377244772629,0.0993510350021316,0.1190989149530026,1.0,0,"[[0.5368539418674692, 0.648365663397414], [0.0778087967927921, 0.6609908325706138], [0.2922405664378724, 0.9017734596267976], [0.6825665725454289, 0.9533706197517913], [0.7416076004088679, 0.5713628364517738], [0.7390661951992631, 0.33306586648280073], [0.20844230681961368, 0.37979991990477574], [0.7390662960864613, 0.6961333795887689]]",0.0720746024987585,0.0093569311771715,0.0022038378152875,0.0252132782301046,0.5980000000000001,0.0,0.5980000000000001,0.1219508396674755,0.006097620427867,0.0022162378184784,0.010928510226744,0.583,0.5337835740691217,0.583,0.1189749709532564,0.0073452820756651,0.0022321847932417,0.0125446418812695,0.586,0.4980620145482625,0.586,8.0,0.5022065345197211,0.6431078222218419,0.3036447521277159,0.1188896904611114,0.03504408266381541,0.42477434226524263,0.12479642087159325,0.460874190169926,0.17506046699386044,0.23769774836602708,0.0747474018544237,0.31955531052226005,2.1853533699146412,0.039944413815282506,0.1953751586427263,0.04662938024820873,0.375,0.375,0.7853981633974483,0.40920850108782825,1.492391751550866,0.07342578447396975,0.048099808660477056,1.526529658200131
5,14,3264,0.088077896288145,0.9190518467578352,0.1096115185982163,0.0059353434595093,0.1096115185982163,0.1133887480462175,0.0041969216088902,0.1013855522447914,0.1178374849516412,1.0,0,"[[0.41137079933479703, 0.2508190998379826], [0.5531788544205135, 0.6644592555286525], [0.6393529409332186, 0.4412756387397377], [0.32982656167194324, 0.8718396165928567], [0.7764714221460758, 0.32540632865164926], [0.13625769151139577, 0.6596508083735163], [0.7479724009498038, 0.7200908606853091], [0.410981939940498, 0.9102460590248351]]",0.0679248462028755,0.0085875194866932,0.0022434366919652,0.0255348747795453,0.6239999999999999,0.0,0.6239999999999999,0.1251506725497957,0.0082102805411135,0.0023131319556752,0.0178389823418806,0.609,0.5745435160373047,0.609,0.1191116430703078,0.0063527617283371,0.002293893370453,0.0109340810061263,0.612,0.547726759907182,0.612,8.0,0.5006765763635308,0.6054734584293173,0.2909773917267444,0.09646344375387475,0.0789671669785403,0.3930653815106578,0.08978446548369645,0.43229500023338874,0.16708246255059686,0.19100692322635468,0.07204949947133697,0.2797079381091606,2.0250712147110863,0.03496349226364508,0.22209188702174198,0.08975394097516487,0.125,0.375,0.7853981633974483,0.45338717686163416,1.4717009617620942,0.07300433800756057,0.034393420251818005,2.12262512634816
6,44,4307,0.0935681085542525,0.914437785975714,0.111449413798381,0.0101468617550853,0.111449413798381,0.1179068370776859,0.0071749147547833,0.0973865808790057,0.1255122467177563,1.0,0,"[[0.9496885441050926, 0.49558305216819926], [0.84101552447093, 0.7991946472874266], [0.6477004110868886, 0.3442992408576916], [0.5802328699539193, 0.46270199427951064], [0.80802406154924, 0.08360580374925061], [0.06902304024393117, 0.21670210530255643], [0.16187399590827986, 0.27343590222494946], [0.3974810940445737, 0.12970178089401635]]",0.0713248069225534,0.0056874871175935,0.0022103423115867,0.0157181257321211,0.573,0.0,0.573,0.1294785622133231,0.0030716425211342,0.002188301109037,0.0063929487649525,0.558,0.5987843844932692,0.558,0.1155157238443243,0.0034296066420563,0.0021524968565532,0.0072994132965727,0.5609999999999999,0.459325768664272,0.5609999999999999,8.0,0.5568799426703569,0.3506530658454502,0.33782330041371544,0.15498901028465686,0.09104245479650301,0.530963820921557,0.10881187288625345,0.5143962995303856,0.2261838503105218,0.21464509748956062,0.09357928573598928,0.32078524772471595,2.4781292797332166,0.040098155965589494,0.17719586539040344,0.050311455894907375,0.375,0.5,0.7853981633974483,0.5704273627654327,1.9693211903213887,0.1224829145310536,0.03539842902486972,3.460122889775739
7,25,3555,0.0905245894966984,0.9169898685746484,0.1117095569359045,0.0075875310931331,0.1117095569359045,0.1165382321554809,0.0053651946884182,0.1011937753466048,0.1222253385252043,1.0,0,"[[0.7850771881272642, 0.7607935483762949], [0.4838118591972993, 0.6731581339125525], [0.6004565817528442, 0.42734346599686446], [0.11910613886626678, 0.27782241366340243], [0.22833534588664564, 0.9456735747531256], [0.5589908741460213, 0.8570394785288569], [0.10148247745627942, 0.5553553545109386], [0.6772102835781489, 0.15627703807601803]]",0.0652938900106605,0.0025799663037419,0.0019503536700425,0.0057763505799223,0.5840000000000001,0.0,0.5840000000000001,0.1319202932853293,0.0024610131130847,0.0019605492445469,0.0059192156051681,0.556,0.6243707270289072,0.556,0.117703751162299,0.0026672103815394,0.0019873553371288,0.0061322572666539,0.571,0.5031382931061013,0.571,8.0,0.44430884362634626,0.5816828759772568,0.3374480278369573,0.11989399309200903,0.09964040873826165,0.4849878427879179,0.19865606758053037,0.5091394047668312,0.1841471937357705,0.2619193117733068,0.04437239556216626,0.398189428185012,2.461805970467572,0.0497736785231265,0.18943258716549008,0.054326425246874366,0.125,0.5,0.7853981633974483,0.4340744419798478,1.3202190481955292,0.07809302858625922,0.06847353263728208,1.1404848790252071
8,7,4172,0.0844904353398321,0.9220920419520744,0.1118771794102928,0.0107827991841403,0.1118771794102928,0.1187393107912434,0.0076245904232784,0.0969329821806671,0.1268213766399186,1.0,0,"[[0.9026856993556951, 0.18654450032703226], [0.41239533727610006, 0.8713609592639263], [0.5467895394289163, 0.3734665224257184], [0.5016365860679705, 0.9164681398045448], [0.8425832012386276, 0.4400115247005735], [0.5537243599780775, 0.5422921426975769], [0.13194445504024513, 0.5004544612288693], [0.6119350083983655, 0.9332448863496872]]",0.0618538609268621,0.0052906124625201,0.0023234499672099,0.0112436177290935,0.626,0.0,0.626,0.1356608901765799,0.0047340038027841,0.0022846114833269,0.0121043148230669,0.6060000000000001,0.7079929401840698,0.6060000000000001,0.1143330763611494,0.0045288030291419,0.0023463296285358,0.0120306294539441,0.611,0.5033592616185232,0.611,8.0,0.5629617733479997,0.5954803920997411,0.3189891497926813,0.13242750759859132,0.05398443924163375,0.5316398306015293,0.09999329088622125,0.47864743045895286,0.20871526074432997,0.19929127235422192,0.10438699427316495,0.2865968161372752,2.313767499732593,0.0358246020171594,0.18566796643442562,0.06675511365031284,0.375,0.625,0.7853981633974483,0.5919837722360464,1.9342437892728528,0.09595786424133171,0.04037484713493413,2.3766743666084285
9,1,1750,0.0817036621397367,0.9244676106780324,0.1122223762823936,0.0134363091850187,0.1122223762823936,0.1207731910873549,0.0095009053388458,0.0936006018182557,0.1308441507465315,1.0,0,"[[0.7809077083672599, 0.7228830734678912], [0.6838579579726572, 0.40365324425883525], [0.4565477969630048, 0.06237309764387078], [0.672717845056195, 0.6387922373352856], [0.6360427019270756, 0.12491717296047444], [0.4175281465957448, 0.19641763325468506], [0.5501491609244239, 0.5757865441441404], [0.8088618237286634, 0.9648745375198412]]",0.0733995705885358,0.0159360080686156,0.0027886896439542,0.0412612231921959,0.641,0.0,0.641,0.1300436837536965,0.0133958178015975,0.0028973338097176,0.0419884520141394,0.6299999999999999,0.5591903013873576,0.6299999999999999,0.1154025670336456,0.0115705069491196,0.0028846351291441,0.0272454104213445,0.624,0.4562221578013848,0.624,8.0,0.625826642691878,0.46121219257312795,0.29367586470389345,0.14293131303233333,0.08173534170886311,0.5358895737130839,0.1370266953726449,0.43815799859510296,0.22769684041523255,0.16784094065464472,0.04052949457078601,0.14364354995618994,2.0576828554228723,0.017955443744523743,0.21319541384986707,0.0351254624801588,0.25,0.375,0.7853981633974483,0.6641591240187127,1.8913220970037194,0.11503386582860314,0.0068802756053699034,16.719368878017292
10,36,3816,0.0926322003587369,0.91522105944862,0.1123809305316666,0.0096493466971542,0.1123809305316666,0.1185217371668865,0.0068231184835777,0.0990076183038542,0.125754242759479,1.0,0,"[[0.8131846565494791, 0.8275463556548786], [0.24315198015660516, 0.7289640322395634], [0.6383650495361154, 0.11903582053756687], [0.6568630258912524, 0.7669014840624894], [0.15063181108968418, 0.3286403525993244], [0.6143833430319995, 0.43264431469219494], [0.5421470585701588, 0.929994005295554], [0.5203685769780029, 0.6368976517677418]]",0.0680589245459224,0.0031733774888407,0.002020204993124,0.0076030155864802,0.571,0.0,0.571,0.1345655790802574,0.0034792006292783,0.0020315128457737,0.0077476332334707,0.562,0.6497564882704097,0.562,0.1123336394202292,0.0034476172500667,0.0020328069151957,0.0075722151905697,0.556,0.4191054710052827,0.556,8.0,0.5223869377254122,0.5963280021061641,0.30122246245152373,0.13903034631606684,0.040619825870747354,0.4911809737822575,0.1676730528800153,0.4642272345794485,0.18991805301874873,0.24569969344527254,0.08077774060205686,0.34320093452267597,2.3215469028376354,0.042900116815334496,0.21713709649639912,0.07000599470444602,0.125,0.25,0.7853981633974483,0.5333579233765192,1.730514815339383,0.08190149420486317,0.0438864018889941,1.8662157451874075
11,18,2035,0.0896265506353289,0.917745625248329,0.1130164348275487,0.0109628713200558,0.1130164348275487,0.119993163414067,0.007751920651687,0.0978226703502421,0.1282101993048553,1.0,0,"[[0.5524997393453872, 0.7807810204960913], [0.24439572874403678, 0.5938151258846556], [0.5238433811330133, 0.6330741063265335], [0.4600661525546923, 0.5441547664654861], [0.7389843077401992, 0.5565283018068355], [0.42931961580115396, 0.35793006078653183], [0.8938202308995601, 0.46366189205891034], [0.8154126072741532, 0.23184280857952191]]",0.0597216201881535,0.00794850235454,0.0028451753195936,0.0366493137620351,0.699,0.0,0.699,0.1407533010284691,0.0093242726225929,0.0027423031551839,0.0501694131688637,0.6799999999999999,0.7350655439764319,0.6799999999999999,0.1108375170651029,0.0071475149318072,0.0026988223847199,0.0286139496618112,0.6779999999999999,0.5073695044724631,0.6779999999999999,8.0,0.5822927204365245,0.5202235103005708,0.2413772768571566,0.09171612915393601,0.12454733605261464,0.3708211304177708,0.10942661415970001,0.36186514100909534,0.14646927914685684,0.17314927200220204,0.045319569080431804,0.19501599532689887,1.7769068275854423,0.02437699941586236,0.27451234379106815,0.10617976910043991,0.0,0.125,0.7853981633974483,0.4798896825919033,1.4569666411682176,0.054804789765054755,0.021395025240611425,2.5615669600158206
12,21,2055,0.0901787928419492,0.9172807309827912,0.1141276248563553,0.0084661649526944,0.1141276248563553,0.11951545924018,0.0059864826486941,0.1023941188649148,0.1258611308477958,1.0,0,"[[0.5680479150903572, 0.4556192883792581], [0.22503127802769338, 0.8415226276832611], [0.5280303994116293, 0.5727693297176467], [0.26714363107348327, 0.3612902942294482], [0.43486123767945845, 0.7466801396242102], [0.8167106374208183, 0.5101058194917625], [0.7251684103489182, 0.7974319033378118], [0.9324455835504267, 0.7173059583506681]]",0.0642649907307527,0.0057925448370124,0.0022569864556998,0.0105278185136571,0.61,0.0,0.61,0.1358210325560068,0.0066357032294548,0.0022806492104759,0.0101001958061035,0.611,0.7145490736092106,0.611,0.120603443582655,0.0057023069637097,0.0023024838020757,0.0115732758551502,0.6020000000000001,0.5486542269244061,0.6020000000000001,8.0,0.5621798865753481,0.6253406701017584,0.26284715195308483,0.11617161842760981,0.06268918011369369,0.40050446068600826,0.12379633979517891,0.4038509677174342,0.1602151654150734,0.20903527918796086,0.05870483976807099,0.23103716464915425,2.013068417541122,0.02887964558114428,0.24894193683111887,0.06755441644957327,0.125,0.125,0.7853981633974483,0.46074298943607395,1.5676783581042892,0.06412212589856386,0.030260125779079834,2.119030382315672
13,19,3059,0.0898359891208809,0.9175692581107114,0.1146438913157189,0.0058719295419446,0.1146438913157189,0.1183807643937017,0.0041520811977586,0.1065058121681119,0.1227819704633259,1.0,0,"[[0.34982060417514244, 0.8277556815451598], [0.1742538914525335, 0.7440032903946995], [0.8526528334522373, 0.3087478618592836], [0.8733367190065485, 0.8192673512007617], [0.4828987702032096, 0.7117045583720908], [0.7519357215423313, 0.2839515098963883], [0.7446599292048407, 0.3854275822404513], [0.18497066844861001, 0.41850093882532535]]",0.0760540852946291,0.0058679215057475,0.0020548940810901,0.0152117353901426,0.541,0.0,0.541,0.1276671146034653,0.0076145348189759,0.0021913922193495,0.0172437448037548,0.5429999999999999,0.5051745049379969,0.5429999999999999,0.123938402104759,0.0069780678824665,0.0021473558649633,0.0166487915090836,0.535,0.4605363410492404,0.535,8.0,0.5518161421856818,0.56241984679177,0.34007805862767904,0.08226174627711172,0.1644248438423768,0.4189579933231719,0.10173657362284128,0.48733932206219055,0.20571269492468922,0.19819051059410892,0.1045796715606537,0.3222203300226811,2.2411585487943326,0.040277541252835135,0.19964738959724188,0.12666328099345148,0.0,0.25,0.7853981633974483,0.6148390459820163,1.8200620154572529,0.09761366674549163,0.04229499709511525,2.3079246589371505
14,40,621,0.0931615666913832,0.9147778612695372,0.1153902105383123,0.0097924324754324,0.1153902105383123,0.121622076405233,0.0069242954076896,0.1018185915392405,0.128961829537384,1.0,0,"[[0.8891276210692024, 0.603641798098141], [0.14308483312927558, 0.50517199479791], [0.46588367993765706, 0.8446743907989689], [0.5577909754375074, 0.6409724217598444], [0.7288247499529351, 0.7669430135012498], [0.9117597105810424, 0.2980099475873434], [0.8233813376374776, 0.3756997931702848], [0.41758454037738374, 0.9468519596357006]]",0.0777202415790097,0.0066170957210969,0.0021549768044399,0.0176418283483871,0.537,0.0,0.537,0.1267922623441286,0.0049434458185847,0.0021303870063958,0.0089068838359306,0.528,0.5109564657498624,0.528,0.1281336102168603,0.0046456243481211,0.0021537696311781,0.008102707186228,0.526,0.5251226710433744,0.526,8.0,0.6171796810153102,0.6227456649186803,0.30187838315711135,0.12932024792234592,0.06212272543243622,0.48845623416816986,0.11301797403797238,0.45378728235203913,0.20149734931714006,0.1939274760113069,0.10332328936697432,0.277355609654036,2.2109288895455776,0.0346694512067545,0.1649217972682237,0.05314804036429943,0.25,0.5,0.7853981633974483,0.6046042754750005,2.0232309022040345,0.08941449999211995,0.03384753971102143,2.64168387881394
15,34,1559,0.0921598147277812,0.9156169147729062,0.1156669739135459,0.0112217623265868,0.1156669739135459,0.1228084597277398,0.0079349842379932,0.1001144048070791,0.1312195430200127,1.0,0,"[[0.23273246588326005, 0.06150348895160909], [0.5252395717180278, 0.6095150227634328], [0.5746429991597304, 0.3914029773055562], [0.43805946122115147, 0.41384580393412945], [0.7467000731850915, 0.09950457208950705], [0.8909525562258666, 0.8030949009276285], [0.722457237790973, 0.8134194563569428], [0.6173311182604725, 0.8463429800154795]]",0.0608849738418501,0.0081575983097625,0.0026661955613403,0.0227135153415232,0.664,0.0,0.664,0.1447798612173377,0.0060185409163073,0.0027206553513624,0.0165424987586578,0.625,0.8085876817740203,0.625,0.1122231993776581,0.0056689767581232,0.0026223420066617,0.0147185263456433,0.6379999999999999,0.5095660193280974,0.6379999999999999,8.0,0.5935144354305717,0.5048286502930357,0.31537378838720675,0.1527013408417731,0.11498484421691002,0.5715774910096086,0.11016106125866486,0.477542480696536,0.22932368523133867,0.20335171816382314,0.10444479192018975,0.29376147514238615,2.384621943165665,0.03672018439279827,0.225753353364885,0.06150348895160909,0.25,0.375,0.7853981633974483,0.5828865250399418,1.9962444413787503,0.11542869507556879,0.02488939166337296,4.6376663856125
16,41,1294,0.0932106354317947,0.9147368014810991,0.1161051468315281,0.0046923540409057,0.1161051468315281,0.1190913426573754,0.0033179953620525,0.1096018759219051,0.1226084177411511,1.0,0,"[[0.10145073608990178, 0.8499603972830947], [0.5089294371328259, 0.9088703597389947], [0.4473579977317768, 0.2887486778611511], [0.28712505310442654, 0.8075253684246079], [0.2890713984614742, 0.7222422659573366], [0.656065136340344, 0.4058556819700113], [0.602412074579821, 0.20157903947497366], [0.894328662138115, 0.06381914853113897]]",0.0752011462308583,0.0129950110474931,0.0024154277711549,0.0336779708649546,0.605,0.0,0.605,0.1329003533514681,0.0085015415292294,0.0024557245277559,0.0175985938432891,0.5780000000000001,0.6049508151032811,0.5780000000000001,0.1234187343923179,0.0068396855679489,0.002331871664844,0.0115710207793285,0.5760000000000001,0.5326956965294238,0.5760000000000001,8.0,0.4733425619473357,0.5310751174051636,0.3645287923973826,0.1283492937254802,0.2215117292684672,0.6289335712157877,0.08530530948711214,0.5210659944976191,0.2643342344813336,0.18683526288456992,0.07341631993721437,0.27208533597121515,2.5004180763127595,0.03401066699640189,0.1951118089369853,0.06381914853113897,0.25,0.375,0.7853981633974483,0.7929396335068108,2.17278849258701,0.15332176540920534,0.01736941366110743,8.827112325185416
